text,label,emotion,cleaned_text,word_count,char_count,avg_word_length,capital_count,exclaim_count,question_count,negation_count
i get giddy over feeling elegant in a perfectly fitted pencil skirt,1,joy,giddy over feeling elegant perfectly fitted pencil skirt,12,67,4.666666666666667,0,0,0,0
i remember feeling acutely distressed for a few days,4,fear,remember feeling acutely distressed few days,9,52,4.888888888888889,0,0,0,0
i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies,5,surprise,seen heard read over past couple days left feeling impressed few companies,23,112,3.9130434782608696,0,0,0,0
i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,3,anger,climbed hill feeling frustrated id pretty much paced entirely wrong course factor never ever hampered made such dent day,34,176,4.205882352941177,0,0,0,1
i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,1,joy,imagine real life scenario emotionally connected enough someone feel totally accepted safe morally acceptable close prolonged physical contact sex won expected subsequently,45,257,4.733333333333333,0,0,0,0
i am not sure what would make me feel content if anything,1,joy,not sure make feel content anything,12,57,3.8333333333333335,0,0,0,1
i have been feeling the need to be creative,1,joy,feeling need creative,9,43,3.888888888888889,0,0,0,0
i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them,1,joy,however want know something someone causing feel less splendid self step away,25,127,4.12,0,0,0,0
i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,3,anger,feel bit rude writing elderly gentleman ask gifts because feel bit greedy christmas not mild greed,29,140,3.8620689655172415,0,0,0,1
i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words,1,joy,need need someone need protected feel safe small find myself season no words,27,115,3.2962962962962963,0,0,0,1
i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired,1,joy,plan share everyday life stories traveling adventures inspirations handmade creations hope feel inspired,23,143,5.260869565217392,0,0,0,0
i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book,1,joy,already christmas trees two feeling festive m sure spurring started book,27,127,3.740740740740741,0,0,0,0
ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect,1,joy,ive worn own little concealer days im feeling brave dont want pale perfect,27,127,3.740740740740741,0,0,0,0
i feel very strongly passionate about when some jerk off decides to poke and make fun of us,1,joy,feel strongly passionate jerk decides poke make fun,18,91,4.111111111111111,0,0,0,0
i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way,0,sadness,feeling discouraged already robbing peter pay paul cow year cant afford not cow way,30,141,3.7333333333333334,0,0,0,1
i was feeling listless from the need of new things something different,0,sadness,feeling listless need new things something different,12,70,4.916666666666667,0,0,0,0
i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special,1,joy,lost special mind don worry m still sane wanted feel felt while reading book don know many times said sam special guarantee many times used paragraph tell special,64,289,3.53125,0,0,0,0
i can t let go of that sad feeling that i want to be accepted here in this first home of mine,2,love,let go sad feeling want accepted first home mine,22,93,3.272727272727273,0,0,0,0
on a boat trip to denmark,1,joy,boat trip denmark,6,25,3.3333333333333335,0,0,0,0
i stopped feeling cold and began feeling hot,3,anger,stopped feeling cold began feeling hot,8,44,4.625,0,0,0,0
i need to feel the dough to make sure its just perfect,1,joy,need feel dough make sure perfect,12,54,3.5833333333333335,0,0,0,0
i found myself feeling a little discouraged that morning,0,sadness,found myself feeling little discouraged morning,9,56,5.333333333333333,0,0,0,0
i feel selfish and spoiled,3,anger,feel selfish spoiled,5,26,4.4,0,0,0,0
i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended,4,fear,stymied little bit wrote feeling unsure might go somewhere story unintended,20,104,4.25,0,0,0,0
i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u,1,joy,bag qaf look cryin jacynthe lookin good feelin gorgeous rupaul skins scissor sisters valentine sun fed kayle daddy gerling awake unkind u,33,175,4.333333333333333,0,0,0,0
i feel you know basically like a fake in the realm of science fiction,0,sadness,feel know basically like fake realm science fiction,14,69,4.0,0,0,0,0
i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave,0,sadness,hate living under dads roof because gives excuse asshole because hes providing live think feels needs make feel unwelcome possible ill leave,45,213,3.7555555555555555,0,0,0,0
i keep feeling pleasantly surprised at his supportiveness and also his ease in new situations,5,surprise,keep feeling pleasantly surprised supportiveness ease new situations,15,93,5.266666666666667,0,0,0,0
i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off,1,joy,feeling anymore vigorous sexual activity coming yes misspelt cumming days parts begin fall,30,152,4.1,0,0,0,0
i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal,1,joy,feel mom graceful warm loving smile rob time nurture myself heal,19,87,3.6315789473684212,0,0,0,0
i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff,1,joy,feel talk brother law extremely popular one no think stiff,23,103,3.5217391304347827,0,0,0,1
i ate i could feel a gentle tingle throughout almost as if i was feeling the healing taking place at a cellular level,2,love,ate feel gentle tingle throughout almost feeling healing taking place cellular level,23,117,4.130434782608695,0,0,0,0
i feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants,4,fear,feel like pressured young beautiful thin depending trend having girls rejuvenated butt implants,23,133,4.826086956521739,0,0,0,0
i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations,4,fear,began having several times week feeling tortured hallucinations moving people figures sounds vibrations,20,127,5.4,0,0,0,0
i am now nearly finished the week detox and i feel amazing,5,surprise,nearly finished week detox feel amazing,12,58,3.9166666666666665,0,0,0,0
i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own,3,anger,feel selfish read back former posts never asked prayers others never considered may others deserve prayers answered before own,39,202,4.205128205128205,0,0,0,2
i know the pain parents feel when an enraged child becomes violent,3,anger,know pain parents feel enraged child becomes violent,12,66,4.583333333333333,0,0,0,0
i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming,0,sadness,roller coaster emotions over supposed feelings something unpleasant coming,18,109,5.111111111111111,0,0,0,0
i suppose my own truth needs to be shared i havent been feeling very faithful lately ive dwelled more in doubt and uncertainty than i have in faith,2,love,suppose own truth needs shared havent feeling faithful lately ive dwelled doubt uncertainty faith,28,147,4.285714285714286,0,0,0,0
i was feeling brave when i bought it and clearly when i was doing my makeup,1,joy,feeling brave bought clearly doing makeup,16,75,3.75,0,0,0,0
i am feeling miserable but c i am also the proudest mum on earth,0,sadness,feeling miserable c proudest mum earth,14,64,3.642857142857143,0,0,0,0
i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic,0,sadness,figure family loves no matter around anyone else feel embarrassed michelle goes ballistic,20,113,4.7,0,0,0,1
i don t necessarily think f bombs and sex are necessary in all stories but i feel reassured when i see them in print journals,1,joy,don necessarily think f bombs sex necessary stories feel reassured see print journals,25,125,4.04,0,0,0,0
i can feel my ovaries aching talking to me as i like to put it,0,sadness,feel ovaries aching talking like put,15,62,3.2,0,0,0,0
i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff,0,sadness,didn feel like doing much chris mostly took many pictures unimportant stuff,19,97,4.157894736842105,0,0,0,0
im tired of the book and ready to have it out of here and finding out that i was given unsuitable images and then feeling blamed for the result did not sit well,0,sadness,im tired book ready finding given unsuitable images feeling blamed result not sit well,33,160,3.878787878787879,0,0,0,1
i did successfully manage to stretch a mxm canvas i feel that this is an achievement in itself for me and was a worthwhile usage of my money and time i will use the canvas for future briefs,1,joy,successfully manage stretch mxm canvas feel achievement itself worthwhile usage money time use canvas future briefs,38,189,4.0,0,0,0,0
i think feelings are one of nay the most important things we have,1,joy,think feelings one nay important things,13,65,4.076923076923077,0,0,0,0
i feel completely honored to be an influence to this young talented fully alive beautiful girl woman,1,joy,feel completely honored influence young talented fully alive beautiful girl woman,17,100,4.9411764705882355,0,0,0,0
i feel angered and firey,3,anger,feel angered firey,5,24,4.0,0,0,0,0
i feel like a miserable piece of garbage,0,sadness,feel like miserable piece garbage,8,40,4.125,0,0,0,0
i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,3,anger,feel like need make list leanne appalled thought dont miss anything,22,102,3.6818181818181817,0,0,0,0
i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner,3,anger,drove dannika school feeling little bit rushed greeted turned corner,23,110,3.8260869565217392,0,0,0,0
i remember feeling so hellip furious with the shooter,3,anger,remember feeling hellip furious shooter,9,53,5.0,0,0,0,0
i feel very happy and excited since i learned so many things,1,joy,feel happy excited since learned many things,12,60,4.083333333333333,0,0,0,0
i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently,1,joy,feel shows around show horses people trusting relaxed because show horses safe quiet handled frequently,26,146,4.653846153846154,0,0,0,0
i only have a couple of things left to make and at the start of december i am done and feeling smug,1,joy,only couple things left make start december done feeling smug,22,99,3.5454545454545454,0,0,0,0
i think about how u could make me feel and realize that everything will be ok,1,joy,think u make feel realize everything ok,16,77,3.875,0,0,0,0
i feel so worthless during those times i was struggling finding work,0,sadness,feel worthless during times struggling finding work,12,68,4.75,0,0,0,0
i will be able to lay on my bed in the dark and not feel terrified at least for a while,4,fear,able lay bed dark not feel terrified least while,21,87,3.1904761904761907,0,0,0,1
i was ready to meet mom in the airport and feel her ever supportive arms around me,2,love,ready meet mom airport feel ever supportive arms around,17,82,3.8823529411764706,0,0,0,0
im feeling bitter today my mood has been strange the entire day so i guess its that,3,anger,im feeling bitter today mood strange entire day guess,17,83,3.9411764705882355,0,0,0,0
when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours,0,sadness,mums brother passed away after having involved car accident bringing present passed form five exams flying colours,31,161,4.225806451612903,0,0,0,0
i am letting go of the animosity that is towards anyone that i feel has wronged me,3,anger,letting go animosity towards anyone feel wronged,17,82,3.8823529411764706,0,0,0,0
i talk to dogs as i feel they cannot understand words but they can read emotions and know how to be supportive i decided i should go home,2,love,talk dogs feel cannot understand words read emotions know supportive decided go home,28,137,3.9285714285714284,0,0,0,0
i feel like throwing away the shitty piece of shit paper,0,sadness,feel like throwing away shitty piece shit paper,11,56,4.181818181818182,0,0,0,0
im starting to feel wryly amused at the banal comedy of errors my life is turning into,1,joy,im starting feel wryly amused banal comedy errors life turning,17,86,4.117647058823529,0,0,0,0
i find every body beautiful and only want people to feel vital in their bodies,1,joy,find every body beautiful only want people feel vital bodies,15,78,4.266666666666667,0,0,0,0
i hear are owners who feel victimized by their associations the associations attorneys or the property manager,0,sadness,hear owners feel victimized associations associations attorneys property manager,17,110,5.529411764705882,0,0,0,0
i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,3,anger,say goodbye fam theyre sad crying feel like heartless bitch because hey im pretty excited flying first time know spend year another country,41,197,3.8292682926829267,0,0,0,0
i wont let me child cry it out because i feel that loving her and lily when she was little was going to be opportunities that only lasted for those short few months,2,love,wont let child cry because feel loving lily little going opportunities only lasted short few months,33,164,4.0,0,0,0,0
i alba i feel good and im fitting in,1,joy,alba feel good im fitting,9,36,3.111111111111111,0,0,0,0
i feel excited about what im doing again i feel like i have a ton of catching up to do,1,joy,feel excited im doing feel like ton catching,20,86,3.35,0,0,0,0
i also know how good it feels to look back and see that i honored my word and that helps from the start,1,joy,know good feels look back see honored word helps start,23,103,3.5217391304347827,0,0,0,0
i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness,0,sadness,mean hard works obtain such high technical skill wushu feel kinda ashamed somehow motivated saw kids doing wushu performances whole heartedly despite tiredness,33,200,5.090909090909091,0,0,0,0
i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me,1,joy,feel like things getting little overwhelming few spritz toner helps calm soothe,21,111,4.333333333333333,0,0,0,0
i hope that you realize how such little effort is required to make a person feel better about themselves or their situation whether its me a family member a college or high school friend a neighbor down the street or even a complete stranger,1,joy,hope realize such little effort required make person feel better themselves situation whether family member college high school friend neighbor street even complete stranger,44,241,4.5,0,0,0,0
i am feeling so festive today that i m even going to put the tree up as soon as i ve finished doing this and catching up with the week s goings ons on coronation street,1,joy,feeling festive today m even going put tree soon ve finished doing catching week goings ons coronation street,36,168,3.6944444444444446,0,0,0,0
finding out that i am not ill not seriously,1,joy,finding not ill not seriously,9,43,3.888888888888889,0,0,0,2
i did alright in class but a combination of feeling unsuccessful being man handled the stress of late and my horrible week resulted in my almost crying after i finished grappling,0,sadness,alright class combination feeling unsuccessful man handled stress late horrible week resulted almost crying after finished grappling,31,178,4.774193548387097,0,0,0,0
i feel it rarely advances any worthwhile cause and i always stick to the rule of not posting anything online that i wouldnt be prepared to say to somebodys face,1,joy,feel rarely advances any worthwhile cause always stick rule not posting anything online wouldnt prepared say somebodys face,30,160,4.366666666666666,0,0,0,1
i am feeling all useful,1,joy,feeling useful,5,23,3.8,0,0,0,0
i feel like some of you have pains and you cannot imagine becoming passionate about the group or the idea that is causing pain,2,love,feel like pains cannot imagine becoming passionate group idea causing pain,24,126,4.291666666666667,0,0,0,0
i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair,0,sadness,feel ugly m inclined wear ratty jeans sweatshirt beautiful dress though might still wear pair heels around house boost self esteem ever slightly definitely won bother buy new pair,49,236,3.836734693877551,0,0,0,0
im not feeling homesick yet so im feeling alright about this,0,sadness,im not feeling homesick yet im feeling alright,11,60,4.545454545454546,0,0,0,1
i dance i should feel pretty,1,joy,dance feel pretty,6,28,3.8333333333333335,0,0,0,0
i workout every morning before and feel fabulous for it,1,joy,workout every morning before feel fabulous,10,55,4.6,0,0,0,0
i feel all of this just from her eyes not from her touch or from her words but from her eyes i know that i can assuredly return this love and know that it shall not be in vain,0,sadness,feel eyes not touch words eyes know assuredly return love know shall not vain,39,175,3.5128205128205128,0,0,0,2
i was feeling fabulous until friday morning when i started to get these awful cramps at work,1,joy,feeling fabulous until friday morning started awful cramps work,17,92,4.470588235294118,0,0,0,0
i feel honoured to have been able to call them friends to share their brotherhood,1,joy,feel honoured able call friends share brotherhood,15,81,4.466666666666667,0,0,0,0
i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,4,fear,begun feel apprehensive thick black rain clouds stormed sky above town,17,93,4.529411764705882,0,0,0,0
i had stated to her the reason i feel so fearful is because i feel unsafe,4,fear,stated reason feel fearful because feel unsafe,16,73,3.625,0,0,0,0
i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch,4,fear,didn feel like getting shaken tsa quite yet pulled side creative croissants lunch,26,122,3.730769230769231,0,0,0,0
i get into groups i feel really awkward and overcompensate by being too talkative or by getting really quiet,0,sadness,groups feel awkward overcompensate talkative getting quiet,19,108,4.7368421052631575,0,0,0,0
i am very excited to finally meet that companion that companion who will be with me at all times especially when i am lonely very lonely that companion who will never disappoint me that companion who will put his arms around me and make me feel loved,2,love,excited finally meet companion companion times especially lonely lonely companion never disappoint companion put arms around make feel loved,47,250,4.340425531914893,0,0,0,1
i feel they are pretty safe on my blog img src http s,1,joy,feel pretty safe blog img src http,13,53,3.1538461538461537,0,0,0,0
i feel pretty eager to get it done as i have a fun plan for quilting it,1,joy,feel pretty eager done fun plan quilting,17,71,3.235294117647059,0,0,0,0
i am feeling horny so i ask her that lets go home,2,love,feeling horny ask lets go home,12,49,3.1666666666666665,0,0,0,0
i think if a poem doesn t put pressure on me i don t feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love,4,fear,think poem doesn put pressure don feel uncomfortable sense feeling feel understanding understand loving able love,42,198,3.738095238095238,0,0,0,0
i too feel as if i am a stranger in a strange land and i am raising my son in a place that is not his father s ancestral home,5,surprise,feel stranger strange land raising son place not father ancestral home,30,125,3.2,0,0,0,1
i left to the shower questioning what i feel she was gorgeous such a fantastic body so confident in her movement effortlessly graceful,1,joy,left shower questioning feel gorgeous such fantastic body confident movement effortlessly graceful,23,134,4.869565217391305,0,0,0,0
i feel energetic and bouncy i m more than happy to go to the gym run around outside with my kids or take the pram for a long walk often i do all three in one day,1,joy,feel energetic bouncy m happy go gym run around outside kids take pram long walk often three one day,37,161,3.3783783783783785,0,0,0,0
i was still feeling strong,1,joy,still feeling strong,5,26,4.4,0,0,0,0
i didn t burst into tears or some other devastating release of feelings or thoughts because i seemed to know that rich also had to go through his own space without me just dumping on him,1,joy,didn burst tears devastating release feelings thoughts because seemed know rich go own space without dumping,36,186,4.194444444444445,0,0,0,0
i wanted to get a pumpkin spice latte this morning but it was hot and the last thing i wanted was a hot coffee maybe i am feeling a little bitter,3,anger,wanted pumpkin spice latte morning hot last thing wanted hot coffee maybe feeling little bitter,31,145,3.7096774193548385,0,0,0,0
i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it,4,fear,suppose feels badly because bit skeptical pain over last few months shes hyperchondria exaggeration habit past though never openly questioned,37,199,4.405405405405405,0,0,0,1
i clench to the corners of the bed to feel assured,1,joy,clench corners bed feel assured,11,50,3.6363636363636362,0,0,0,0
i also feel like i am being selfish in not being grateful for the life i do have and the amazing things in it,3,anger,feel like selfish not grateful life amazing things,24,109,3.5833333333333335,0,0,0,1
i called it god because i d seen god in a book and figured god was the right name for feeling so utterly affirmed and accepted without question,2,love,called god because d seen god book figured god right name feeling utterly affirmed accepted without question,28,143,4.142857142857143,0,0,0,0
i don t know why perhaps because other girls in the office had nice short hair or perhaps i was just feeling rebellious,3,anger,don know why perhaps because girls office nice short hair perhaps feeling rebellious,23,119,4.217391304347826,0,0,0,0
i do not feel miserable at all because my family is not the type that celebrates eid,0,sadness,not feel miserable because family not type celebrates eid,17,84,4.0,0,0,0,2
i might go get a car wash if i am feeling really generous my car needs it,1,joy,might go car wash feeling generous car needs,17,73,3.3529411764705883,0,0,0,0
i still feel sleep deprived she is almost sleeping through the night giving us,0,sadness,still feel sleep deprived almost sleeping night giving,14,78,4.642857142857143,0,0,0,0
i just feel really violent right now,3,anger,feel violent right,7,36,4.285714285714286,0,0,0,0
i am bloging again i am sitting here feeling content with my dogs amp cat etc and i know that how lucky we are the truth is we,1,joy,bloging sitting feeling content dogs amp cat etc know lucky truth,28,126,3.5357142857142856,0,0,0,0
i started feeling funny and then friday i woke up sick as a dog,5,surprise,started feeling funny friday woke sick dog,14,63,3.5714285714285716,0,0,0,0
i feel a need to protect my parents against the witch hunt that repressed memory therapy can be,0,sadness,feel need protect parents against witch hunt repressed memory therapy,18,95,4.333333333333333,0,0,0,0
i feel disgusted to even be associated with this woman by my race and nationality,3,anger,feel disgusted even associated woman race nationality,15,81,4.466666666666667,0,0,0,0
i laughed then bitterly again but i wasnt feeling bitter,3,anger,laughed bitterly wasnt feeling bitter,10,56,4.7,0,0,0,0
i couldn t know what he was feeling then i thought that he wished he could have been there with us too for each of us knew that however much we hated it at first it was an experience we would remember forever,0,sadness,couldn know feeling thought wished knew however much hated first experience remember forever,43,208,3.86046511627907,0,0,0,0
i was feeling quite mellow and i wanted a soft easy look to wear with my beginning of a cold,1,joy,feeling quite mellow wanted soft easy look wear beginning cold,20,92,3.65,0,0,0,0
i told him that maybe i just need time to think how ive been feeling indecisive about things lately,4,fear,told maybe need time think ive feeling indecisive things lately,19,99,4.2631578947368425,0,0,0,0
i still feel it does the genre a disservice when stories are resolved artifically,1,joy,still feel genre disservice stories resolved artifically,14,81,4.857142857142857,0,0,0,0
i always know when i am feeling artistic when i write my name while i am in an artistic mood the i in manitz i draw a circle not a dot the bigger the dot the more artistic i am feeling and if it is just a line like an accent mark in spanish im pissed,1,joy,always know feeling artistic write name while artistic mood manitz draw circle not dot bigger dot artistic feeling line like accent mark spanish im pissed,56,250,3.482142857142857,0,0,0,1
i remember feeling really terrified when i was in brazil on a bus that was going up steep mountain hills on the side of the mountain in the middle of a big storm wondering if we were going to fall off,4,fear,remember feeling terrified brazil bus going steep mountain hills side mountain middle big storm wondering going fall,41,200,3.902439024390244,0,0,0,0
i could feel her whimper to the thought of being unloved and uncared for,0,sadness,feel whimper thought unloved uncared,14,72,4.214285714285714,0,0,0,0
im certainly not going to sit and tell you whats going on in my personal life but i feel that if you were ever curious about whats going in my life all youd have to do is watch the show,5,surprise,im certainly not going sit tell whats going personal life feel ever curious whats going life youd watch show,40,185,3.65,0,0,0,1
im sorry that there wasnt more humor in this post but im not feeling all that funny,5,surprise,im sorry wasnt humor post im not feeling funny,17,83,3.9411764705882355,0,0,0,1
i feel ive got my foot in the door of the fantastic world of walking and running the trails fells and mountains,1,joy,feel ive foot door fantastic world walking running trails fells mountains,22,111,4.090909090909091,0,0,0,0
i say whatever comes in my mind tell you directly what i feel a jealous girl not because i m insecure but because i just love that person a trust worthy friend sweet to the one i love,3,anger,say whatever comes mind tell directly feel jealous girl not because m insecure because love person trust worthy friend sweet one love,38,183,3.8421052631578947,0,0,0,1
i feel strange coming back to work after my one day holiday,4,fear,feel strange coming back work after one day holiday,12,59,4.0,0,0,0,0
im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,3,anger,im clearly influenced dash happiness emily dickinson example use dashes instead colons semi colons enhance feelings rushed enjambment sonnet,32,183,4.75,0,0,0,0
i am fatter because the only thing in my life that can remain under my control is whether or not i get to eat peanut butter on bread when i get home from an impossible day of to first world looking yet third world feeling hell of needy and neglected little girls,0,sadness,fatter because only thing life remain under control whether not eat peanut butter bread home impossible day first world looking yet third world feeling hell needy neglected little girls,52,262,4.0576923076923075,0,0,0,1
i could claim to redeem the genre but it didn t leave me feeling as entirely frustrated to the point of beating my head against a wall either,3,anger,claim redeem genre didn leave feeling entirely frustrated point beating head against wall either,28,141,4.071428571428571,0,0,0,0
i feel so sad and hopeless,0,sadness,feel sad hopeless,6,26,3.5,0,0,0,0
im getting the feeling that my classes are a little intimidated by the concept of a lit,4,fear,im getting feeling classes little intimidated concept lit,17,87,4.176470588235294,0,0,0,0
i still feel groggy but i have to get up to do the routine for my son,0,sadness,still feel groggy routine son,17,69,3.1176470588235294,0,0,0,0
i have a feeling my view isnt going to be very popular and thats fine,1,joy,feeling view isnt going popular thats fine,15,69,3.6666666666666665,0,0,0,0
i want to hold this feeling of shocked awe and wonder forever,5,surprise,want hold feeling shocked awe wonder forever,12,61,4.166666666666667,0,0,0,0
when i heard a rumour that the st year exam results were out i had fear that i might be one of the failures,4,fear,heard rumour st year exam results fear might one failures,24,107,3.5,0,0,0,0
i want to feel valued i do and appreciated i do and know the people who love me arent going anywhere even if the nature of the relationship changes,1,joy,want feel valued appreciated know people love arent going anywhere even nature relationship changes,29,147,4.103448275862069,0,0,0,0
i know there are days in which you feel distracted,3,anger,know days feel distracted,10,50,4.1,0,0,0,0
i use it regularly with relaxing music and always feel invigorated afterward,1,joy,use regularly relaxing music always feel invigorated afterward,12,76,5.416666666666667,0,0,0,0
